Date,Year,Type,Country,State,Location,Activity,Sex,Age,Fatal Y/N,Time,Source,Fatal,Activity_Categorized
2025-05-08 00:00:00,2025,Unprovoked,Jamaica,Montego Bay,Rose Hall Beach,paddling,F,26,N,Not stated,The sun News: Metro: Kevin McMurray Tracking sharks.com,0,Other
2025-04-21 00:00:00,2025,Unprovoked,Israel,Hadera,Olga Beach Near Hadera Stream,diving,M,45,Y,1500hrs,Ynetnews.com: Dailymirroe.co.uk: Todd Smith Alessandro Maddalena: Andrew Currie,1,Other
2025-04-20 00:00:00,2025,Questionable,Mexico,Quntana Roo,Chac Mool Beach Cancun,rescuing female companion,M,20,Y,Not stated,"Mundo Now: Reutir"" Kevin McMurray Trackingsharks.com",1,Other
2025-04-19 00:00:00,2025,unprovoked,Maldives,Kulhudhuffushi City,Haa Dhaalu Atoll,snorkeling,M,30,N,Not stated,Todd Smith: The edition: https://en.sun.mv/96031,0,snorkeling
2025-04-12 00:00:00,2025,Unprovoked,United States,Florida,Everglades National Park Flamingo Lodge Highway West Miami-Dade (Monroe County),undisclosed,M,28,N,1500hrs,Kevin McMurray Trackingsharks.com: Florida News: www.dailymail.co.uk,0,Other
2025-03-26 00:00:00,2025,Unprovoked,Australia,Wa,Sandtrax Port Beach North Fremantle Perth,swimming,M,30,N,1430hrs,Kevin McMurray Trackingsharks.com: www.surfer.com ,0,swimming
2025-03-10 00:00:00,2025,Unprovoked,Australia,Wa,Duke Of Orleans Bay,surfing,M,37,Y,1210 hrs,Bob Myatt,1,surfing
2025-03-07 00:00:00,2025,Unprovoked,Australia,Nsw,Gunyah Beach Bundeena Port Hacking,swimming,F,56,N,1340hrs,Bob Myatt,0,swimming
2025-02-27 00:00:00,2025,Unprovoked,Australia,Victoria,Nuns Beach Near Portland,swimming,M,40,N,Unknown,Kevin McMurray Trackingsharks.com,0,swimming
27-Feb-25,2025,Questionable,Philippines,Batangas Resort,Verde Island,scuba diving,M,29,Y,1300hrs,Stephen Parkhill   Glen Folkard,1,diving
2025-02-22 00:00:00,2025,Unprovoked,Australia,Western Australia,Blasck Wall Reach Swan River Perth,kayaking,F,35,N,0815hrs,Bob Myatt GSAF,0,kayaking
2025-02-22 00:00:00,2025,Questionable,Australia,Nsw,Off Port Stephens Near Newcastle,fishing was pulled of boat by shark,M,58,Y,1300hrs,Simon De Marchi: Bob Myatt GSAF,1,fishing
2025-02-22 00:00:00,2025,Unprovoked,Australia,Queensland,The Wrecks Walking Track Moreton Island,snorkeling,M,29,N,1503hrs,Bob Myatt GSAF,0,snorkeling
2025-02-10 00:00:00,2025,Unprovoked,Bahamas,nan,Bimini Bay,swimming,F,24,N,1830hrs,Dail Mail Australia Todd Smith: Kevin McMurray Trackingsharks.com,0,swimming
2025-02-10 00:00:00,2025,Unprovoked,Bahamas,nan,Bimini Bay,swimming,F,20,N,1830hrs,Dail Mail Australia Todd Smith: Kevin McMurray Trackingsharks.com,0,swimming
2025-02-07 00:00:00,2025,Unprovoked,Turks And Caicos Islands,Near Five Cays Settlement West Caicos,Thompson Cove Beach,swimming,F,55,N,Unknown,Todd Smith: Platform X Kevin McMurray  Trackingsharks.com,0,swimming
2025-02-03 00:00:00,2025,Unprovoked,Australia,Queensland,"Woorim Beach, Bribie Island,",swimming,F,17,Y,1645 hrs,9 News: The Brisbane Times: The Guardian,1,swimming
2025-01-23 00:00:00,2025,Unprovoked,Australia,Western Australia,Shipwreck Cove,bathing,M,12,N,1711hrs,Bob Myatt GSAF,0,swimming
2025-01-22 00:00:00,2025,Unprovoked,Australia,Western Australia,Cheynes Beach,surfing,M,37,N,1600hrs,Bob Myatt GSAF,0,surfing
2025-01-03 00:00:00,2025,Unprovoked,Mozambique,Inhambane Province,Vilankulo Bay,spearfishing,M,36,Y,1330hrs,Kevin McMurray Trackingsharks.com,1,fishing
2025-01-11 00:00:00,2025,Provoked,United States,Hawaii,Off Haleiwa Boat Harbour Oahu,diving,M,23,N,1340hrs,Kevin McMurray Trackingsharks.com,0,Other
2025-01-02 00:00:00,2025,Unprovoked,New Caledonia,Grande Terre,Islet Of Kendek Near Koumac,spearfishing,M,40,Y,1615hr,Johannes Marchand Todd Smith ,1,fishing
2025-01-02 00:00:00,2025,Unprovoked,Australia,South Australia,Granites Beach Near Westall Streaky Bay,surfing,M,28,Y,1710hr,Glen Folkard: Simon De Marchi News.com.au: The News Daily: The National Tribune:,1,surfing
2024-12-30 00:00:00,2024,Unprovoked,Mozambique,Unknown,?,diving,M,28,Y,?,Kevin McMurray Trackingsharks.com,1,Other
2024-12-29 00:00:00,2024,Unprovoked,Egypt,North Of Marsa Alam,Red Sea,scuba diving,M,69,N,?,Todd Smith : Kevin McMurray Trackingsharks .com: Christofer Eskander: Simon De Marchi: Glen Folkard,0,diving
2024-12-29 00:00:00,2024,Unprovoked,Egypt,North Of Marsa Alam,Red Sea,scuba diving,M,48,Y,?,Todd Smith : Kevin McMurray Trackingsharks .com: Christofer Eskander: Simon De Marchi: Glen Folkard,1,diving
2024-12-28 00:00:00,2024,Unprovoked,Australia,Queensland,Humpy Island Great Keppel Island,spearfishing,M,40,Y,1637hr,Todd Smith Glen Folkard ABC News: The North West Star: 9.com.au:,1,fishing
2024-12-02 00:00:00,2024,Unprovoked,Australia,Queensland,Curtis Island Near Gladstone Qld Central Coast,spearfishing,M,60,N,?,Glen Folkard GSAF,0,fishing
2024-12-01 00:00:00,2024,Unprovoked,Australia,Western Australia,Greenough River Mouth Beach Cape Burney 12Km South Of Geraldton,surfing,M,28,N,?,Bob Myatt GSAF,0,surfing
2024-11-30 00:00:00,2024,Unprovoked,Thailand,Phang Nga Province,Khao Lak Beach,swimming,F,57,N,?,Kevin McMurray Tracking Sharks.com ,0,swimming
2024-11-19 00:00:00,2024,Unprovoked,New Zealand,Bay Of Waitangi,Chatham Islands,diving,M,24,Y,AM,Glen Folkhard: Todd Smith: Andy Currie Kevin McMurray Tracking sharks.com,1,Other
2024-11-15 00:00:00,2024,Unprovoked,Maldives,Kaafu,Maafushi,diving,F,45,N,?,the edition: Kevin McMurray Tracking sharks.com: Andy Currie,0,Other
2024-11-01 00:00:00,2024,Unprovoked,United States,Maui,Sand Piles Waiehu Beach Park,surfing,M,61,N,?,Glen Folkard: Independent: Fox News: Sky News Hawaii News Hour:,0,surfing
2024-10-31 00:00:00,2024,Unprovoked,Australia,Queensland,Whitsunday Islands,snorkeling,F,57,N,1630hrs,Simon de Marchi: 9 News: 7 News: ABC News:,0,snorkeling
2024-10-25 00:00:00,2024,Unprovoked,United States,Florida,"Bathtub Beach, Martin County",surfing,M,27,N,AM,Bob Myatt: Yardbarker: 12 on your side: WPTV: The Inertia:,0,surfing
2024-10-14 00:00:00,2024,Unprovoked,Honduras,Tela,Atlantida,swimming,M,38,N,?,Georgienne Bradley: Daily Mail UK: FTN News.com,0,swimming
2024-10-11 00:00:00,2024,Unprovoked,United States,Florida,Brevard County Orlando,surfing,M,16,N,?,Todd SmithFlorida today: News 4:,0,surfing
2024-09-26 00:00:00,2024,Questionable,Indonesia,Timor Leste,Pulau Reong Island,disappeared whilst diving remains found in shark,F,68,Y,?,New York Post: ESPN: Bob Myatt GSAF,1,Other
2024-09-17 00:00:00,2024,Unprovoked,Honduras,Trujillo Colon,Puerto Castillo,diving for shellfish,M,33,N,?,Daily Mail UK: The Sun UK:  The World Watch,0,fishing
2024-09-16 00:00:00,2024,Unprovoked,Morocco,Southern Morocco,West Of Dakhla,swimming - jumped off yacht,F,30,Y,1600hr,Andy Currie: Moroccan World News: Sky News,1,swimming
2024-08-26 00:00:00,2024,Unprovoked,Jamaica,Montego Bay,Falmouth,spearfishing,M,16,Y,?,Todd Smith: Daily Mail UK: Sky News: People .com,1,fishing
2024-08-06 00:00:00,2024,Unprovoked,Belize,Gulf Of Honduras,Central America,swimming - diving,F,15,N,1130hrs,Kevin McMurray Tracking Sharks.com New York Post: ABC News: The Independent:,0,swimming
2024-07-23 00:00:00,2024,Unprovoked,Australia,Nsw,"North Shore Beach, Port Macquarie",surfing,M,23,N,1100hrs,Nine.com.au: ABC.Net.Au Johannes Marchand,0,surfing
2024-07-18 00:00:00,2024,Unprovoked,Australia,Western Australia,Trigg Beach Sterling,surfing,M,41,N,1735hrs,Daily Mail: Sky News: The West Australian,0,surfing
2024-07-08 00:00:00,2024,Unprovoked,United States,Florida,Ponce De Leon Inlet Volusia County,diving into water,M,14,N,1115hrs,Miami Herald,0,Other
2024-07-08 00:00:00,2024,Unprovoked,Australia,Western Australia,14 Mile Beach Coral Bay (Gascoyne Region),spearfishing,M,43,N,1118hrs,Bob Myatt: Simon deMarchi: ABC News,0,fishing
2024-07-05 00:00:00,2024,Unprovoked,United States,Florida,New Smyrna Beach,wading,M,26,N,1615hrs,Sacbee Fox 35,0,Other
2024-07-04 00:00:00,2024,Unprovoked,United States,Texas,South Padre Island,swimming,F,28,N,?,NBCDFW,0,swimming
2024-07-04 00:00:00,2025,Unprovoked,United States,Texas,South Padre Island,swimming,F,18,N,?,CNN,0,swimming
2024-07-04 00:00:00,2024,Unprovoked,United States,Floria,New Smyrna Beach,playing football in the water,M,21,N,1100hr,Click Orlando News Journal on Line,0,Other
2024-07-04 00:00:00,2024,Unprovoked,United States,Florida,New Smyrna Beach Beach Access 14 Volusia County,swimming,M,28,N,1100hr,Brietbart .com,0,swimming
2024-06-23 00:00:00,2024,Unprovoked,United States,Hawaii,Goat Island (Moku'Auia) La'Ie Bay,surfing,M,49,Y,after 1200hr,CBC News:  Sky News: BBC News,1,surfing
2024-06-07 00:00:00,2024,Unprovoked,United States,Hawaii,"Haleiwa, Oahu",unconfirmed possibly swimming near the boat harbour,F,25,N,1400hr,Newsweek.com: Spectrunnews: Hawaiinewsnow:,0,swimming
2024-06-07 00:00:00,2024,Unprovoked,United States,Florida,Rosemary Beach Walton County,wading,F,15,N,15.5,NWFDailynews:WDHN.com,0,Other
2024-06-07 00:00:00,2024,Unprovoked,United States,Florida,Water Sound  Beach Walton County,swimming,F,45,N,13h15,NWFDailynews:WDHN.com,0,swimming
2024-06-02 00:00:00,2024,Unprovoked,United States,California,Del Mar Beach San Diego,swimming ocean training,M,46,N,9h,ABC News San Diego: Del Mar Times:,0,swimming
2024-06-02 00:00:00,2024,Unprovoked,Maldives,Maahvah Laamu Atoll,Indian Ocean,military ocean training,M,23,Y,1300,www.Raajjee.mv: www.Edition.mv: www.Avas.mv:,1,Other
2024-05-28 00:00:00,2024,Unprovoked,United States,Galveston,Jamaica Beach,wading,F,19,N,14h,ABC NEWS: FOX 26 Houston:,0,Other
2024-05-24 00:00:00,2024,Unprovoked,Turks And Caicos Islands,Providenciales Island,Leward Reef,snorkelling,M,27,N,15h30,CBC News: CTV News Atlantic: National Post:,0,snorkeling
2024-05-23 00:00:00,2024,Unprovoked,French Polynesia,Gambier Islands,Mangareva Atoll,freediving,M,20,N,Not stated,LadBible,0,Other
2024-05-02 00:00:00,2024,Unprovoked,United States,South Carolina,Y-73' Ledge Reef Chareston Coast,spearfishing,M,65,N,13h30,Post and Courier: Fox News: Five Live News:,0,fishing
2024-04-26 00:00:00,2024,Unprovoked,Trinidad And Tobago,Graet Courland Bay,Turtle Beach,swimming,M,64,N,9h15,Sky News: The Guardian: ,0,swimming
2024-04-26 00:00:00,2024,Unprovoked,Bahamas,Clarence Town Long Isand,Flying Fish Marina,jumpinf from dock to boat acidentally fell into water at marina,M,24,N,Not advised,USA Today: The Independent: ABC News,0,Other
2024-04-20 00:00:00,2024,Unprovoked,Australia,South Australia,West Beach Glenelg,fishing,M,16,N,13h40,ABC News Australia: Sky News:,0,fishing
2024-04-20 00:00:00,2024,Unprovoked,Australia,Western Australia,Lighthouse Bombie Surf Spot Exemouth,surfing,M,26,N,12h30,ABC News: W.A. Today: The West Australian: 7 News:,0,surfing
2024-04-08 00:00:00,2024,Unprovoked,Maldives,Nunu Atoll,Unspecified,swimming,M,28,N,Not advised,"UNN.UA news, Kyiv",0,swimming
15 Mar 2024,2024,Unprovoked,Australia,Queensland,Bargara Beach,swimming,F,13,N,16h00,"Yahoo News, 3/15/2024",0,swimming
04 Mar 2024,2024,Unprovoked,United States,Hawaii,"Old Man'S, Waikiki",surfing,M,28,N,,"Surfer, 3/6/2024F",0,surfing
02 Mar-2024,2024,Unprovoked,United States,Hawaii,"Rainbows, Oahu",swimming,F,11,N,13h30,"Hawaii News Now, 3/4/2024",0,swimming
25 Feb-2024,2024,Unprovoked,Australia,Western Australia,"Sandlnd Island, Jurian Bay",swimming,F,46,N,11h30,"WA Today, 2/26/2024",0,swimming
14 Feb-2024,2024,Unprovoked,India,Maharashtra,"Vaitarna River, Palghar District",fishing,M,32,N,,"Times of India, 2/14/2024",0,fishing
29 Jan-2024,2024,Unprovoked,Australia,New  South Wales,"Elizabeth Bay, Sydney Harbor",swimming,F,29,N,20h00,"Nine News, 12/31/2024",0,swimming
15 Jan-2024,2024,Unprovoked,Bahamas,Paradise Island,Paradise Island Resort,swimming,M,10,N,16h00,"Caribbean Loop News, 1/15;2024 ",0,swimming
09-Jan-2024,2024,Unprovoked,Australia,South Australia,"Walkers Beach, Elliston",surfing,M,64,N,13h00,"A. Currie, GSAF",0,surfing
05-Jan-2024,2024,Provoked,South Africa,Eastern Cape Province,Papiesfontein,fishing,M,62,N,,Jacaranda fm. 12/6/2024,0,fishing
30 Dec-2023,2023,Unprovoked,United States,Hawaii,"Baby Beach, Maui",surfing,M,39,Y,11h12,"Surfer, 12/31/2023",1,surfing
29 Dec-2023,2023,Unprovoked,Mexico,Sonora,"Tojahui Beach, Yavaros, Huatabampo",free diving,M,22,Y,13h00,"EuroESEuro, 12/31/2023",1,diving
28 Dec-2023,2023,Unprovoked,Australia,South Australia,Ethel Beach,surfing,M,15,Y,13h30,"S. DeMarchi, GSAF",1,surfing
25 Dec-2023,2023,Unprovoked,Australia,New South Wales,Old Bar,surfing,M,16,N,16h30,"9 News, 12/26/2023",0,surfing
24-Dec-2023,2023,Unprovoked,Australia,Western Australia,Wedge Island,foil boarding,M,46,N,15h00,"9 News, 12/25/2023",0,boarding
18 Dec-2023,2023,Unprovoked,New Zealand,South Island,Riverton,wading,F,21,N,02h00,"NZ Herald,  12/18/2023",0,Other
14  Dec-2023,2023,Questionable,Mexico,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",swimming,M,66,Y,09h15,"EL Pais, 12/15/2023",1,swimming
14  Dec-2023,2023,Questionable,Mexico,Guerrero,"Playa Quieta, Ixtapa, Zihuatanejo",swimming,F,52,N,Early Morning,"EL Pais, 12/15/2023",0,swimming
08 Dec-2023,2023,Unprovoked,Australia,Queensland,1770,snorkeling,M,20,N,16h32,"B. Myatt, GSAF",0,snorkeling
04 Dec-2023,2023,Unprovoked,Bahamas,New Providence   Isoad,Sandals Resort,paddle boarding,F,44,Y,11h00,"NBC News, 12/4/2023",1,boarding
02 Dec-2023,2023,Unprovoked,Mexico,Jalisco,San Patricio Melaque,swimming,F,26,Y,Morning,"News Channel 21, 12/3.2023",1,swimming
30 Nov-2023,2023,Unprovoked,Australia,Queensland,Clack Island,swimming,M,21,N,11h30,"ABC Net, 11/30/2023",0,swimming
21 Nov-2023,2023,Unprovoked,Bahamas,Grand  Bahama Island,Tiger Beach,scuba diving,F,47,Y,10h30,"Eye Witness News, 11/22/2023",1,diving
10 Nov-2023,2023,Unprovoked,Australia,South Australia,Port Noarlunga,free diving,F,32,N,13h20,S. DeMarchi. GSAF,0,diving
05 Nov-2023,2023,Unprovoked,United States,Florida,"Juno Beach, Palm Beach County",swimming,M,66,N,10h30,"ABC, 11/15/2023",0,swimming
03 Nov-2023,2023,Unprovoked,Australia,Westerm Australia,Peak Island,spearfishing,M,28,N,14h00,"Daily Mail, 11/3/2023",0,fishing
02 Nov-2023,2023,Unprovoked,New Zealand,North Island,Cape Pallister,free diving,M,28,N,09h00,"NZ Herald, 11/2/2023",0,diving
Reported 02 Nov-2023,2023,Questionable,Egypt,Southern Red Sea,Fury Shoal,scuba diving,M,66,N,,"Daily Mail, 11/2/2023",0,diving
31 Oct-2023,2023,Unprovoked,Australia,South Australia,Streaky Bay,surfing,M,55,Y,10h20,S. DeMarchi. GSAF,1,surfing
25 Oct 2023,2023,Unprovoked,United States,Hawaii,"Pua’Ena Point,  Haleiwa, Oahu",surfing,M,30,N,15h05,"Surfer, 10/25/2023",0,surfing
23 Oct-2023,2023,Provoked,Mexico,Quintana Roo,Banco Chinchorro Biosphere Reserve,fishing,M,59,N,,TYT Newsroom. 10/26/2023,0,fishing
21 Oct-2023,2023,Watercraft,Australia,Western Australia,"Alexander Bay, Esperance",fishing,M,28,N,17h00,ABC. 10/22/2023,0,fishing
20 Oct 2023,2023,Unprovoked,Belize,Belize District,"San Pedro , Ambergris Caye",snorkeling,F,8,N,,C. Dinkel,0,snorkeling
15 Oct 2023,2023,Unprovoked,United States,Hawaii,"Hanalei Bay, Kauai",surfing,M,50,N,16h00,"Kaua'i Now, 10/15/2023",0,surfing
13 Oct-2023,2023,Unprovoked,United States,California,"Linda Mar, Pacific State Beach, San Mateo County",surfing,M,52,N,15h45,"R. Collier, GSAF",0,surfing
02 Oct-2023,2023,Unprovoked,United States,Hawaii,"Paia, Maui",surfing,F,45,N,13h00,"The Beat of Hawaii, 10/2/2023",0,surfing
01 Oct-2023,2023,Unprovoked,Australia,South Australia,Beachport,swimming,F,64,N,07h45,"B. Myatt, GSAF",0,swimming
01 Oct-2023,2023,Unprovoked,United States,California,"Wildcat Beach, Marin County",swimming,M,52,Y,10h40,"SF Chronicle, 10/10/2023",1,swimming
18 Sep-2023,2023,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",swimming,M,28,N,16h00,"C. Creswell, GSAF",0,swimming
13 Sep-2023,2023,Unprovoked,Egypt,South Sinai,Dahab,swimming,F,34,N,,M. Maaty,0,swimming
12 Sep-2023,2023,Questionable,United States,Florida,"New Smyrna Beach, Volusia County",surfing,M,38,N,07h50,"Daytona Beach News Journal, 9/13/2023",0,surfing
11 Sep-2023,2023,Unprovoked,United States,Florida,"Satellite Beach, Brevard County",surfing,M,28,N,,"Fox 35,9/12/2-23",0,surfing
09 Sep- 2023,2023,Unprovoked,Philippines,Bolinao,"Pangasinan, Ilocos Norte, Luzon Island",fishing,M,28,Y,,"Manila Bulletin, 9 /10/2023",1,fishing
04 Sep 2023,2023,Unprovoked,United States,Florida,"Ponce Inlet, Volusia County",surfing,M,28,N,,"Click Orlando, 9/4/2023",0,surfing
04 Sep 2023,2023,Unprovoked,United States,Florida,"Ponce Inlet, Volusia County",wading,F,37,N,,"Click Orlando, 9/4/2023",0,Other
23 Aug-2023,2023,Unprovoked,United States,North Carolina,"Oak Island, Brunswick County",wading,,9,N,09h00,"C. Creswell, GSAF",0,Other
22 Aug-2023,2023,Watercraft,United States,California,"Pebble Beach, San Mateo County",kayak fishing,M,19,N,13h00,"MSN, 8/22/2023",0,fishing
16 Aug-2023,2023,Unprovoked,Spain,Valencia,Rabdells Beach,wading,M,35,N,Afternoon,Las Provincias,0,Other
16 Aug-2023,2023,Provoked,Portugal,Norte,9 Nm Off Vila Do Conde,fishing,M,28,N,19h30,"Portugese Resident, 8/17/2023",0,fishing
12 Aug-2023,2023,Unprovoked,Samoa,Savai'I Island,Lano,towing a dead whale out to sea,M,28,Y,Evening,"Samoa News,8/15/2023",1,Other
07 Aug-2023,2023,Unprovoked,United States,New York,Rockaway,wading,F,65,N,17h50,".S. Curatolo- Wagemann, GSAFF",0,Other
31 Jul-2023,2023,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",surfing,M,22,N,09h30,"Fox35, 7/31/2023",0,surfing
30 Jul-2023,2023,Unprovoked,United States,Florida,"Anna Maria Island, Manatee County",spearfishing,M,22,N,15h30,"R. Babington, GSAF",0,fishing
29 Jul-2023,2023,Unprovoked,United States,Florida,Tampa Bay,swimming,F,26,N,20h00,"Fox12, 8/1/2023",0,swimming
24 Jul-2023,2023,Unprovoked,Australia,Western Australia,Gnarabup Beach,surfing,M,28,N,08h45,"B. Myatt, GSAF",0,surfing
22 Jul-2023,2023,Unprovoked,Australia,Western Australia,Yallingup Lagoon,snorkeling,M,77,N,,"B. Myatt, GSAF",0,snorkeling
21 Jul-2023,2023,Unprovoked,United States,South Carolina,"Sea Pines Beach, Hilton Head Island, Beaufort County",boogie boarding,M,60,N,13h20,"C. Creswell, GSAF",0,boarding
18 Jul-2023,2023,Unprovoked,Colombia,San Andrés Island,Nirvana,freediving,M,38,N,"""Midday""","La Patria, 7/20/2023",0,Other
15 Jul-2023,2023,Unprovoked,United States,Florida,New Smyrna Beach,sitting,M,49,N,14h00,"Fox35, 7/15/2023",0,Other
14 Jul-2023,2023,Unprovoked,United States,Florida,New Smyrna Beach,surfing,M,21,N,15h00,"Wesh2, 7/14/2023",0,surfing
Reported 14 Jul-2023,2023,Watercraft,South Africa,Eastern Cape Province,Chinta East,watching the sardine run,,28,N,,"Ladbible, 7/14/2023",0,Other
04 Jul-2023,2023,Unprovoked,Ecuador,Galapagos Islands,Mosquera Islet,snorkeling,F,42,N,,"T. Smith, GSAF",0,snorkeling
04 Jul-2023,2023,Unprovoked,United States,New York,"Cherry Grove, Suffolk County",standing,F,28,N,16h25,"S.S. Curatolo- Wagemann, GSAFF",0,floating/standing
04 Jul-2023,2023,Unprovoked,United States,New York,"Fire Island Pines, Suffolk County",swimming,M,49,N,13h55,"S.S. Curatolo- Wagemann, GSAFF",0,swimming
04 Jul-2023,2023,Unprovoked,United States,New York,"Quogue Village Beach, Suffolk County",swimming,M,47,N,13h50,"S.S. Curatolo- Wagemann, GSAFF",0,swimming
03 Jul-2023,2023,Unprovoked,United States,New York,"Kismet Beach, Suffolk County",surfing,M,15,N,17h20,"S.S. Curatolo- Wagemann, GSAFF",0,surfing
03 Jul-2023,2023,Unprovoked,United States,New York,"Beach 3, Robert Moses State Park, Suffolk County",swimming,F,15,N,13h45,"S.S. Curatolo- Wagemann, GSAFF",0,swimming
23-Jun-2023,2023,Unprovoked,United States,Florida,"Cocoa Beach, Brevard County",swimming,F,28,N,,"Fox 35, 6/29/2023",0,swimming
23-Jun-2023,2023,Unprovoked,United States,Florida,"Flamingo Marina, Homestead, Miami-Dade County",fishing,M,28,N,10h10,"South Florida Sun Sentinel, 6/23/2023",0,fishing
Reported 14-June 2023,2023,Unprovoked,United States,Hawaii,Laysan,filming,M,28,N,,"BBC, 6/14/2023",0,Other
08-Jun 2023,2023,Unprovoked,Egypt,Red Sea Protectorate,"Dream Beach, Hurguda",swimming,M,24,Y,15h00,"M. Michaelson, et al,GSA",1,swimming
28-May 2023,2023,Unprovoked,French Polynesia,Tahiti,"Matavai Bay, Arue, Papetee",kite surfing,F,25,N,14h35,"J. Marchand, GSAF",0,surfing
28-May 2023,2023,Unprovoked,New Caledonia,Poum,Twagne,spearfishing,M,42,Y,11h00,"J. Marchand, GSAF",1,fishing
